mes,mes_texto,tipo_semana,hora_periodo,hora_inicio,hora_fin,Time,periodo_tarifario
3,Mar,Weekend,12,11,12,11-12,P6
3,Mar,Weekend,13,12,13,12-13,P6
3,Mar,Weekend,14,13,14,13-14,P6
3,Mar,Weekend,15,14,15,14-15,P6
3,Mar,Weekend,16,15,16,15-16,P6
3,Mar,Weekend,17,16,17,16-17,P6
3,Mar,Weekend,18,17,18,17-18,P6
3,Mar,Weekend,19,18,19,18-19,P6
3,Mar,Weekend,20,19,20,19-20,P6
3,Mar,Weekend,21,20,21,20-21,P6
3,Mar,Weekend,22,21,22,21-22,P6
3,Mar,Weekend,23,22,23,22-23,P6
3,Mar,Weekend,24,23,24,23-24,P6
4,Apr,Weekday,1,0,1,0-1,P6
4,Apr,Weekday,2,1,2,1-2,P6
4,Apr,Weekday,3,2,3,2-3,P6
4,Apr,Weekday,4,3,4,3-4,P6
4,Apr,Weekday,5,4,5,4-5,P6
4,Apr,Weekday,6,5,6,5-6,P6
4,Apr,Weekday,7,6,7,6-7,P6
4,Apr,Weekday,8,7,8,7-8,P6
4,Apr,Weekday,9,8,9,8-9,P5
4,Apr,Weekday,10,9,10,9-10,P4
4,Apr,Weekday,11,10,11,10-11,P4
4,Apr,Weekday,12,11,12,11-12,P4
4,Apr,Weekday,13,12,13,12-13,P4
4,Apr,Weekday,14,13,14,13-14,P4
4,Apr,Weekday,15,14,15,14-15,P5
4,Apr,Weekday,16,15,16,15-16,P5
4,Apr,Weekday,17,16,17,16-17,P5
4,Apr,Weekday,18,17,18,17-18,P5
4,Apr,Weekday,19,18,19,18-19,P4
4,Apr,Weekday,20,19,20,19-20,P4
4,Apr,Weekday,21,20,21,20-21,P4
4,Apr,Weekday,22,21,22,21-22,P4
4,Apr,Weekday,23,22,23,22-23,P5
4,Apr,Weekday,24,23,24,23-24,P5
4,Apr,Weekend,1,0,1,0-1,P6
4,Apr,Weekend,2,1,2,1-2,P6
4,Apr,Weekend,3,2,3,2-3,P6
4,Apr,Weekend,4,3,4,3-4,P6
4,Apr,Weekend,5,4,5,4-5,P6
4,Apr,Weekend,6,5,6,5-6,P6
4,Apr,Weekend,7,6,7,6-7,P6
4,Apr,Weekend,8,7,8,7-8,P6
4,Apr,Weekend,9,8,9,8-9,P6
4,Apr,Weekend,10,9,10,9-10,P6
4,Apr,Weekend,11,10,11,10-11,P6
4,Apr,Weekend,12,11,12,11-12,P6
4,Apr,Weekend,13,12,13,12-13,P6
4,Apr,Weekend,14,13,14,13-14,P6
4,Apr,Weekend,15,14,15,14-15,P6
4,Apr,Weekend,16,15,16,15-16,P6
4,Apr,Weekend,17,16,17,16-17,P6
4,Apr,Weekend,18,17,18,17-18,P6
4,Apr,Weekend,19,18,19,18-19,P6
4,Apr,Weekend,20,19,20,19-20,P6
4,Apr,Weekend,21,20,21,20-21,P6
4,Apr,Weekend,22,21,22,21-22,P6
4,Apr,Weekend,23,22,23,22-23,P6
4,Apr,Weekend,24,23,24,23-24,P6
5,May,Weekday,1,0,1,0-1,P6
5,May,Weekday,2,1,2,1-2,P6
5,May,Weekday,3,2,3,2-3,P6
5,May,Weekday,4,3,4,3-4,P6
5,May,Weekday,5,4,5,4-5,P6
5,May,Weekday,6,5,6,5-6,P6
5,May,Weekday,7,6,7,6-7,P6
5,May,Weekday,8,7,8,7-8,P6
5,May,Weekday,9,8,9,8-9,P5
5,May,Weekday,10,9,10,9-10,P4
5,May,Weekday,11,10,11,10-11,P4
5,May,Weekday,12,11,12,11-12,P4
5,May,Weekday,13,12,13,12-13,P4
5,May,Weekday,14,13,14,13-14,P4
5,May,Weekday,15,14,15,14-15,P5
5,May,Weekday,16,15,16,15-16,P5
5,May,Weekday,17,16,17,16-17,P5
5,May,Weekday,18,17,18,17-18,P5
5,May,Weekday,19,18,19,18-19,P4
5,May,Weekday,20,19,20,19-20,P4
5,May,Weekday,21,20,21,20-21,P4
5,May,Weekday,22,21,22,21-22,P4
5,May,Weekday,23,22,23,22-23,P5
5,May,Weekday,24,23,24,23-24,P5
5,May,Weekend,1,0,1,0-1,P6
5,May,Weekend,2,1,2,1-2,P6
5,May,Weekend,3,2,3,2-3,P6
5,May,Weekend,4,3,4,3-4,P6
5,May,Weekend,5,4,5,4-5,P6
5,May,Weekend,6,5,6,5-6,P6
5,May,Weekend,7,6,7,6-7,P6
5,May,Weekend,8,7,8,7-8,P6
5,May,Weekend,9,8,9,8-9,P6
5,May,Weekend,10,9,10,9-10,P6
5,May,Weekend,11,10,11,10-11,P6
5,May,Weekend,12,11,12,11-12,P6
5,May,Weekend,13,12,13,12-13,P6
5,May,Weekend,14,13,14,13-14,P6
5,May,Weekend,15,14,15,14-15,P6
5,May,Weekend,16,15,16,15-16,P6
5,May,Weekend,17,16,17,16-17,P6
5,May,Weekend,18,17,18,17-18,P6
5,May,Weekend,19,18,19,18-19,P6
5,May,Weekend,20,19,20,19-20,P6
5,May,Weekend,21,20,21,20-21,P6
5,May,Weekend,22,21,22,21-22,P6
5,May,Weekend,23,22,23,22-23,P6
5,May,Weekend,24,23,24,23-24,P6
6,Jun,Weekday,1,0,1,0-1,P6
6,Jun,Weekday,2,1,2,1-2,P6
6,Jun,Weekday,3,2,3,2-3,P6
6,Jun,Weekday,4,3,4,3-4,P6
6,Jun,Weekday,5,4,5,4-5,P6
6,Jun,Weekday,6,5,6,5-6,P6
6,Jun,Weekday,7,6,7,6-7,P6
6,Jun,Weekday,8,7,8,7-8,P6
6,Jun,Weekday,9,8,9,8-9,P4
6,Jun,Weekday,10,9,10,9-10,P3
6,Jun,Weekday,11,10,11,10-11,P3
6,Jun,Weekday,12,11,12,11-12,P3
6,Jun,Weekday,13,12,13,12-13,P3
6,Jun,Weekday,14,13,14,13-14,P3
6,Jun,Weekday,15,14,15,14-15,P4
6,Jun,Weekday,16,15,16,15-16,P4
6,Jun,Weekday,17,16,17,16-17,P4
6,Jun,Weekday,18,17,18,17-18,P4
6,Jun,Weekday,19,18,19,18-19,P3
6,Jun,Weekday,20,19,20,19-20,P3
6,Jun,Weekday,21,20,21,20-21,P3
