fecha,tmed,tmin,tmax,prec,velmedia,racha,sol,presMax,presMin,num_estaciones
2024-01-01,9.172330654420207,4.658897818599312,13.689437428243398,0.090635838150289,1.9254545454545453,7.419160839160839,5.417361111111111,964.1657657657656,960.009009009009,888
2024-01-02,10.25776754890679,5.570655926352129,14.947126436781607,3.706025492468135,3.0623776223776225,10.56484593837535,3.106164383561644,964.3923076923078,960.0307692307692,887
2024-01-03,11.894285714285717,7.892228571428571,15.8952,0.7917824074074075,2.42125,8.755,2.678620689655172,963.0165919282512,959.3573991031392,890
2024-01-04,10.535624284077892,6.846506300114547,14.220847651775486,5.277468060394889,2.1214186369958274,9.1884239888424,2.25578231292517,962.0657657657658,953.6135135135136,892
2024-01-05,8.337729357798166,5.485681557846506,11.198967889908255,5.58150289017341,3.571727019498608,11.899579831932773,3.462068965517241,957.6264573991032,951.1780269058296,892
2024-01-06,7.313386727688787,3.8901601830663615,10.737299771167049,2.6979214780600462,3.2478991596638656,10.898595505617978,5.729861111111111,962.6843049327356,956.9170403587444,891
2024-01-07,6.786613272311213,2.6902745995423345,10.889142857142858,0.9818076477404404,2.788251748251748,9.190909090909091,6.388194444444444,964.0251121076234,961.5636771300448,890
2024-01-08,5.805498281786941,1.2837342497136313,10.328865979381444,0.5324825986078886,2.1,7.631837307152876,5.531034482758621,964.8678733031674,960.953846153846,888
2024-01-09,6.700573394495413,3.0772935779816515,10.32809633027523,1.7424418604651162,1.4355244755244756,5.602244039270687,3.1333333333333333,962.6807174887892,960.0515695067264,889
2024-01-10,7.401947308132875,4.605040091638029,10.196563573883164,3.0424242424242425,1.8936974789915968,7.191139240506328,1.8727891156462584,963.0657657657658,959.5833333333334,888
2024-01-11,6.755517241379311,3.213793103448276,10.300344827586208,0.9579743888242142,2.037412095639944,7.511739745403112,4.375342465753424,964.2380733944954,959.6169724770642,888
2024-01-12,6.846735395189003,2.0302059496567506,11.674455899198168,0.0861948955916473,2.37020979020979,7.835574229691877,6.309027777777778,967.40407239819,963.8339366515836,890
2024-01-13,8.792528735632184,3.764942528735632,13.822413793103449,1.6351162790697675,2.199023709902371,7.772625698324022,3.4746575342465755,968.2515837104072,964.012669683258,888
2024-01-14,11.413808975834293,7.150978135788262,15.687241379310343,3.996499416569428,2.4537709497206706,9.248391608391607,2.493793103448276,963.80814479638,958.8461538461538,889
2024-01-15,12.871626297577857,9.553517877739331,16.193425605536333,3.0406323185011708,2.6986033519553074,9.309663865546218,1.1486301369863012,959.547963800905,956.3018099547512,887
2024-01-16,13.39150401836969,9.631995412844038,17.14971297359357,7.643559718969556,3.3372222222222225,13.96527777777778,2.2258503401360543,957.8085201793722,950.0385650224216,891
2024-01-17,13.317803468208092,10.514682080924857,16.124452133794694,5.745422535211268,5.092050209205021,16.812762973352033,3.2352112676056337,951.8781818181818,945.2527272727272,888
2024-01-18,12.480756013745705,8.959954233409611,16.008247422680412,5.786065573770492,3.760251046025104,13.989200561009817,3.734722222222222,955.009009009009,948.1873873873874,891
2024-01-19,7.967889908256881,4.496334478808706,11.447706422018348,7.694651162790697,3.6850140056022407,12.375668073136428,2.2910344827586204,960.4877828054298,952.2900452488688,891
2024-01-20,6.606636155606407,1.9930205949656752,11.221739130434782,0.293279258400927,2.213146853146853,8.876858345021038,6.26338028169014,972.2927272727272,960.2813636363636,892
2024-01-21,8.25433789954338,3.0778538812785388,13.432269099201823,0.1746234067207416,2.0720445062586927,7.294853963838665,6.393706293706293,976.3385650224216,971.7919282511212,892
2024-01-22,9.804142692750286,4.39632183908046,15.217146144994247,0.5714619883040936,2.404861111111111,8.353417015341702,5.456164383561644,978.4195454545454,974.2663636363636,891
2024-01-23,12.468087557603686,6.89389400921659,18.042281105990785,0.04585764294049,1.9590529247910864,6.893584379358438,6.9530612244897965,982.4976744186048,979.4767441860464,889
2024-01-24,13.231718569780853,6.961361014994233,19.501960784313727,0.0255542590431738,1.864763231197772,6.3788218793828895,7.527397260273973,982.0353773584906,978.8188679245284,889
2024-01-25,13.643383199079402,7.0150574712643685,20.26363636363636,0.0210035005834305,1.8366806136680616,6.453491620111731,7.689041095890411,978.20814479638,973.9836363636364,888
2024-01-26,13.259335624284075,6.808237986270022,19.705956471935853,0.0097674418604651,1.6855354659248958,5.898186889818689,7.122448979591836,975.4592760180996,972.410407239819,889
2024-01-27,13.084114285714286,6.781942857142857,19.3864,0.0088167053364269,1.7975069252077562,6.2436288088642655,7.373287671232877,972.7668161434976,969.104932735426,892
2024-01-28,12.520137299771168,6.592105263157895,18.454057142857145,0.0038327526132404,2.0933333333333333,7.521111111111111,6.534722222222222,971.1225225225226,968.7166666666668,890
2024-01-29,12.044393592677345,7.544508009153318,16.542562929061784,0.0209059233449477,2.01908077994429,6.838354253835426,4.330821917808219,972.9855855855856,969.7986486486486,889
